customer_no,Affinity_Rating,Capacity_Rating,PROscore,Frequency,Monetary,Propensity_Rating,Donor_Category
3216173,1,1,1,,,1,Under-Patron
3216246,1,1,1,,,1,Under-Patron
3216272,1,2,1,,,1,Under-Patron
3216289,1,1,1,,,1,Under-Patron
3216310,1,1,1,1,1,1,Under-Patron
3216315,1,2,2,1,1,4,Under-Patron
3216323,1,2,2,,,3,Under-Patron
3216332,1,2,2,,,3,Under-Patron
3216340,1,2,2,,,4,Under-Patron
3216378,,,,,,,Under-Patron
3216472,1,2,2,,,4,Under-Patron
3216488,1,1,1,,,1,Under-Patron
3216614,3,3,3,1,1,4,Under-Patron
3216620,1,1,1,,,1,Under-Patron
3216700,1,2,1,,,1,Under-Patron
3216704,1,1,1,,,1,Under-Patron
3216715,1,1,1,1,1,1,Under-Patron
3216725,1,2,2,1,1,3,Under-Patron
3216739,1,3,3,1,1,4,Under-Patron
3216741,1,1,2,1,1,4,Under-Patron
3216743,1,2,2,,,4,Under-Patron
