customer_no,Days Since Last Ticket Order,Days Since Last Gift,Days Since Last Activity Date,Contribution_Last_Amount,Contribution_last_year_giving,Days since Last Contribution,Donor_Category
3103839,1990,1497,1089,100,,1498,Under-Patron
3103945,232,533,232,12.5,,534,Under-Patron
3103953,817,476,22,100,,477,Under-Patron
3104125,1027,1022,321,33.5,,1023,Under-Patron
3104220,2299,1672,1089,100,,1673,Under-Patron
3104396,535,533,321,1,,534,Under-Patron
3104455,665,379,7,250,,380,Under-Patron
3104482,826,587,235,25,,587,Under-Patron
3104568,2280,1351,726,150,,1352,Under-Patron
3104637,85,791,67,14.4,,792,Under-Patron
3104653,279,1364,276,10,,1365,Under-Patron
3104684,2092,1525,1089,100,,1526,Under-Patron
3104704,1573,1471,376,100,,1472,Under-Patron
3104723,2188,1336,726,50,,1337,Under-Patron
3104737,90,847,7,160.4,,848,Under-Patron
3104910,838,1525,376,50,,1526,Under-Patron
3105230,28,561,28,10,,562,Under-Patron
3105440,466,1358,54,50,,1359,Under-Patron
3105451,725,1331,376,500,,1332,Under-Patron
3105460,454,718,35,10,,719,Under-Patron
3105566,1490,1490,376,150,,1491,Under-Patron
3105578,105,104,7,20,20,105,Under-Patron
3105589,949,945,359,35,,946,Under-Patron
3105656,963,1502,603,50,,1503,Under-Patron
3105661,688,686,321,1,,688,Under-Patron
3105663,556,251,235,50,50,252,Under-Patron
3105704,1526,1525,321,75.5,,1526,Under-Patron
3105716,2185,482,22,250,,483,Under-Patron
3105751,2183,1358,726,50,,1359,Under-Patron
3105764,1199,1154,376,50,,1199,Under-Patron
3105809,492,491,35,16.25,,492,Under-Patron
3105833,45868,393,22,1000,,394,Under-Patron
3105866,2175,1463,1089,230,,1463,Under-Patron
3105877,2175,1751,1089,75,,1752,Under-Patron
3105988,2166,225,22,800,800,226,Under-Patron
3106123,81,1478,81,30.8,,1500,Under-Patron
3106185,235,232,232,15,15,233,Under-Patron
3106186,197,337,22,100,100,338,Under-Patron
3106210,929,1002,321,6.2,,1003,Under-Patron
3106221,646,645,321,15,,646,Under-Patron
3106223,45868,1447,726,50,,1448,Under-Patron
3106398,0,1476,0,50,,1477,Under-Patron
3106704,692,525,22,125,,526,Under-Patron
3106822,45868,1330,726,50,,1331,Under-Patron
3106835,933,932,321,50,,933,Under-Patron
3106884,1266,1140,599,50,,1141,Under-Patron
3106940,2114,1357,726,200,,1358,Under-Patron
3106953,1073,368,158,50,,369,Under-Patron
3106956,219,215,35,13.5,13.5,216,Under-Patron
3107040,2131,1516,1089,150,,1517,Under-Patron
3107090,561,833,209,13.75,,834,Under-Patron
3107138,359,1106,35,50,,1107,Under-Patron
3107175,104,727,104,50,,728,Under-Patron
3107202,1028,1008,321,12.5,,1009,Under-Patron
